start,end,Pit Latrine Location,_Pit Latrine Location_latitude,_Pit Latrine Location_longitude,_Pit Latrine Location_altitude,_Pit Latrine Location_precision,Point and shoot! Use the camera to take a photo of the pit latrine,What is the type of soil around the latrine?,What is the general slope of the area?,What is the current condition of the latrine?,What is the current condition of the latrine?/Intact,What is the current condition of the latrine?/Partly Damaged,What is the current condition of the latrine?/Completely,What is the Primary Cause of damage?,What is the water level inside the latrine?,How close is the latrine to the nearest water source?,Approximately how many people use the latrine?,Are there any visible signs of sewage spillage or contamination risks to nearby?,Are there alternative sanitation facilities?,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2024-05-21T09:23:12.616+03:00,2024-05-21T10:35:28.338+03:00,-0.3601927 36.9228054 1889.5 3.9,-0.3601927,36.9228054,1889.5,3.9,1716276842721.jpg,Clay soil,Gental,Intact,1,0,0,Structural Weakness,Partially Filled with Water,>100 m,5,No,No,341323714,d8e5bec1-e8d8-4755-a5e6-5c29af4e1414,2024-05-21T16:00:02,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,1
2024-05-21T11:16:28.343+03:00,2024-05-21T11:18:04.790+03:00,-0.3375484 36.9185951 1957.300048828125 4.183,-0.3375484,36.9185951,1957.300048828125,4.183,1716279439967.jpg,Loam soil,Gental,Intact,1,0,0,other,Dry,50 m,10,No,No,341323726,7521e3ce-ea56-4bf1-91a8-f6a5dc37439d,2024-05-21T16:00:05,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,2
2024-05-21T11:20:22.189+03:00,2024-05-21T11:21:52.578+03:00,-0.3368139 36.9190481 1856.5 4.266,-0.3368139,36.9190481,1856.5,4.266,1716279659909.jpg,Loam,Steep,Intact,1,0,0,other,Dry,50 - 100 m,2,No,No,341323733,e9986a4f-6541-4037-8b30-53f749b50063,2024-05-21T16:00:07,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,3
2024-05-21T11:23:25.912+03:00,2024-05-21T11:24:27.613+03:00,-0.3373973 36.9196523 1857.2 4.483,-0.3373973,36.9196523,1857.2,4.483,1716279836524.jpg,Clay,Steep,Intact,1,0,0,Ground Erosion,Dry,50 - 100 m,5,No,,341323746,93df4707-8ee0-4a04-8c8e-f3ba317e271e,2024-05-21T16:00:10,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,4
2024-05-21T11:24:32.582+03:00,2024-05-21T11:31:39.506+03:00,-0.3389931 36.9208928 1854.3999999999999 4.766,-0.3389931,36.9208928,1854.3999999999999,4.766,1716280245915.jpg,Loam ,Gental,Intact,1,0,0,other,Dry,50 - 100 m,5,No,No,341323755,26b8a782-fa07-49d2-afd5-728a6d5654a3,2024-05-21T16:00:12,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,5
2024-05-21T11:31:44.282+03:00,2024-05-21T11:34:43.053+03:00,-0.3394961 36.9213525 1856.8 4.483,-0.3394961,36.9213525,1856.8,4.483,1716280413590.jpg,Loam,Gental,Intact,1,0,0,Flooding,Partially Filled with Water,50 - 100 m,5,No,No,341323767,c0e1fd89-9952-43ec-b3d6-45aae6edd5d3,2024-05-21T16:00:15,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,6
2024-05-21T11:41:41.942+03:00,2024-05-21T11:43:16.154+03:00,-0.3424789 36.9251733 1865.8 4.8,-0.3424789,36.9251733,1865.8,4.8,1716280953957.jpg,Loam ,Steep,Intact,1,0,0,other,Dry,50 - 100 m,3,No,No,341323779,9f11667c-513d-4e1c-8eb2-cf5aba7240c9,2024-05-21T16:00:19,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,7
2024-05-21T11:47:05.687+03:00,2024-05-21T11:50:46.927+03:00,-0.3451919 36.9291478 1854.7 4.925,-0.3451919,36.9291478,1854.7,4.925,1716281261682.jpg,Black cotton,Gental,Intact,1,0,0,Ground Erosion,Partially Filled with Water,50 - 100 m,3,Yes,No,341323790,df755d13-63bb-47d2-863b-bfeefddbc8d7,2024-05-21T16:00:21,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,8
2024-05-21T11:51:02.281+03:00,2024-05-21T11:52:45.942+03:00,-0.3452336 36.9294013 1854.3 4.342,-0.3452336,36.9294013,1854.3,4.342,1716281496869.jpg,Cotton,Steep,Completely,0,0,1,Flooding,Fully submerged,>100 m,1,Yes,Yes,341323816,122bb24f-61f2-4a1e-a7ee-aaf525927b2b,2024-05-21T16:00:27,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,9
2024-05-21T12:03:43.709+03:00,2024-05-21T12:05:11.259+03:00,-0.3412153 36.9305629 1888.8999999999999 4.36,-0.3412153,36.9305629,1888.8999999999999,4.36,1716282257778.jpg,Cotton,Flat,Completely,0,0,1,Ground Erosion,Fully submerged,>100 m,2,No,Yes,341323828,f40321d4-cd69-42f9-8ea8-e2d8ecefaf07,2024-05-21T16:00:30,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,10
